Nr;x;y;xright;ylow;fob;lea;lbd;rea;rbd;hnc;vnc;lcw;rcw;ma
1;186;287;132;203;3614;8;7;8;8;2;1;4;4;30
2;185;286;135;203;3362;7;7;8;7;2;1;4;3;30
3;186;286;137;202;3902;8;7;7;7;2;1;4;4;30
4;188;285;138;201;3641;7;7;7;7;2;1;3;4;30
5;187;285;137;201;3811;8;7;8;7;2;1;3;4;29
6;186;287;137;203;16045;8;8;7;8;2;1;7;8;7
7;186;288;137;204;15832;8;8;8;8;2;1;3;3;16
8;185;288;138;204;16105;8;3;8;4;1;1;4;3;16
9;185;287;140;203;16771;7;7;8;8;2;1;7;4;6
10;184;288;140;203;16994;8;8;8;8;2;1;8;3;7
11;184;288;141;202;4022;7;8;8;8;2;1;3;4;29
12;184;288;143;202;3807;8;8;7;8;2;1;3;4;30
13;183;289;143;202;3798;7;8;8;8;2;1;3;4;30
14;184;289;144;202;3610;8;8;8;8;2;1;4;4;30
15;184;289;145;201;4346;7;8;7;7;2;1;3;4;29
16;184;288;145;201;17487;15;15;15;15;4;2;7;16;30
17;186;288;145;201;17293;15;15;15;15;4;2;8;15;30
18;186;286;147;200;8395;15;15;15;15;4;2;7;7;29
19;185;287;148;201;17849;15;15;15;15;4;2;8;7;30
20;185;286;147;201;17728;15;15;15;15;4;1;4;8;29
21;183;286;146;201;3903;8;8;8;7;2;1;4;4;30
22;182;285;147;201;4395;8;8;8;8;2;1;4;4;29
23;182;285;146;201;4357;8;7;8;7;2;1;3;3;30
24;181;287;146;202;4142;7;7;8;8;2;1;4;3;30
25;181;286;144;203;4138;8;7;7;7;2;1;4;3;30
26;180;285;146;204;8826;7;8;8;8;2;4;15;15;7
27;182;286;147;204;9251;8;15;7;15;4;4;15;16;7
28;182;287;146;203;9680;8;15;8;15;4;4;16;16;7
29;182;287;146;203;8943;7;15;8;15;4;4;16;16;8
30;182;288;145;203;9391;7;8;8;7;2;4;15;15;7
31;183;287;146;203;4009;8;7;8;7;2;1;3;4;29
32;184;287;147;203;3645;9;8;8;8;2;1;3;4;30
33;182;286;147;202;3605;7;7;8;8;2;1;4;4;30
34;181;287;149;201;4171;8;7;8;7;2;1;3;4;30
35;181;287;149;202;4124;7;7;7;8;2;1;4;3;29
36;182;287;149;203;9183;8;15;9;15;4;4;16;15;6
37;181;288;147;203;4050;7;15;7;15;4;4;15;16;7
38;180;288;146;203;17783;15;15;15;15;4;2;8;15;30
39;181;289;145;204;17415;14;15;15;15;4;2;9;16;31
40;182;289;146;205;17350;15;15;15;15;4;2;7;16;31
41;181;290;145;206;17728;15;15;15;15;4;2;7;16;31
42;182;292;144;206;17436;15;15;15;15;4;2;8;16;31
43;181;292;144;206;3821;7;8;7;7;2;1;4;4;30
44;180;292;144;207;4056;7;7;7;7;2;1;4;4;31
45;181;292;145;207;4384;4;4;4;3;1;4;8;8;7
46;181;290;144;207;3984;3;4;4;3;1;4;8;7;7
47;181;290;143;208;3759;3;4;3;4;1;4;7;8;7
48;182;289;144;208;4386;4;4;3;3;1;4;8;7;7
49;182;289;143;210;4369;7;8;8;8;2;1;4;4;32
50;182;289;144;208;4311;7;7;8;9;2;1;4;3;31
51;181;288;145;208;18096;16;15;16;15;4;2;7;16;30
52;181;287;144;208;17971;16;16;16;16;4;2;8;16;31
53;183;287;144;207;17885;16;15;16;16;4;2;8;16;31
54;184;287;143;208;17353;16;16;15;15;4;2;7;16;31
55;184;288;142;209;17807;8;7;8;8;2;1;3;3;14
56;184;288;140;210;17300;8;8;8;8;2;1;4;4;16
57;184;288;139;211;17273;7;8;8;8;2;1;3;3;15
58;186;288;140;212;17808;8;9;8;7;2;1;3;3;17
59;187;288;139;212;3914;9;7;8;8;2;1;3;4;32
60;187;287;138;211;3768;7;8;8;7;2;1;3;3;31
