Nr;x;y;xright;ylow;fob;lea;lbd;rea;rbd;hnc;vnc;lcw;rcw;ma
1;92;145;344;532;25361;21;21;21;19;5;3;8;8;80
2;92;145;344;533;26297;21;19;21;21;5;3;8;9;79
3;92;146;345;532;25119;19;21;18;20;5;2;8;10;78
4;90;145;344;532;26221;19;21;21;19;5;3;9;9;79
5;89;146;345;532;22429;21;21;21;19;5;2;9;9;80
6;87;147;346;531;104394;20;21;22;19;6;2;19;21;18
7;87;147;347;532;110762;18;21;19;19;5;2;9;9;40
8;87;148;347;533;109969;18;9;19;8;2;2;9;9;38
9;88;146;349;534;106480;21;22;20;23;5;2;20;9;19
10;89;147;351;533;108513;19;20;19;20;5;2;22;10;18
11;87;145;352;533;22631;19;19;20;21;5;2;8;9;75
12;86;145;352;533;25059;18;21;20;18;5;2;8;9;80
13;86;145;352;533;27243;19;19;19;20;5;2;9;8;80
14;86;144;353;532;26240;18;22;20;20;5;3;9;9;80
15;87;145;354;530;26015;19;20;19;19;5;2;10;10;80
16;87;144;354;530;112572;40;39;38;40;11;5;21;39;80
17;86;146;354;531;112784;40;40;40;40;11;5;20;40;77
18;85;147;354;531;62332;39;38;40;39;10;5;19;21;80
19;85;148;352;530;110758;38;39;40;40;10;5;19;22;80
20;85;148;353;529;105932;39;40;40;40;11;2;9;21;79
21;86;149;355;530;26080;22;18;19;19;5;3;8;9;80
22;85;150;357;529;24347;19;19;22;19;5;3;8;9;79
23;85;150;359;528;24782;21;18;18;21;6;3;10;9;79
24;85;150;358;527;26027;20;18;20;20;6;2;10;9;79
25;85;149;357;528;28242;19;18;21;21;6;3;9;10;79
26;86;150;357;527;58731;21;21;19;20;5;10;40;40;17
27;85;151;358;528;55662;21;38;19;40;10;11;40;40;17
28;85;153;358;527;58622;19;40;18;38;11;10;40;40;17
29;85;155;358;525;53398;20;39;21;39;10;11;38;38;17
30;87;154;359;525;59032;22;20;19;20;5;10;38;40;16
31;88;154;360;523;27640;19;20;18;21;5;2;9;8;78
32;89;155;360;523;23727;22;20;20;19;5;2;10;9;78
33;89;156;362;525;27057;21;20;20;21;5;2;9;8;78
34;89;157;363;527;24481;20;21;20;19;5;2;9;10;79
35;90;157;364;527;25602;21;19;18;22;5;2;10;10;79
36;89;157;364;527;55550;20;39;17;38;10;11;40;38;17
37;88;157;364;526;23908;20;39;21;39;11;10;39;40;18
38;87;157;363;527;112423;40;40;39;39;10;5;21;38;78
39;88;158;364;529;111603;40;39;39;39;11;5;22;38;79
40;88;158;366;527;115729;40;40;40;40;11;5;21;40;78
41;87;159;365;527;115413;40;40;38;39;11;5;18;38;79
42;87;158;364;527;113272;40;40;40;39;11;5;20;40;76
43;87;158;366;527;26458;20;18;18;19;5;2;10;8;79
44;89;158;367;526;23369;18;22;22;20;5;3;9;8;77
45;89;158;369;526;28281;9;10;9;8;2;10;19;20;17
46;88;157;370;526;23820;10;9;9;10;3;10;19;20;17
47;89;157;370;525;27698;9;8;9;9;3;10;19;21;19
48;90;157;370;526;23764;8;8;8;9;2;11;20;19;18
49;88;156;372;525;25078;20;21;21;20;5;2;8;9;79
50;88;157;372;523;28139;21;19;22;20;5;2;9;9;78
51;87;156;372;523;116734;39;39;38;39;10;6;22;39;75
52;88;156;372;524;113787;39;39;38;39;10;6;20;39;78
53;88;157;371;522;116197;38;39;39;39;10;6;18;40;77
54;87;157;372;521;112108;38;39;39;39;10;5;20;40;77
55;88;156;372;521;114832;17;19;19;20;5;2;9;10;41
56;88;155;373;521;111734;20;19;18;20;5;2;9;8;39
57;88;155;375;521;117225;20;18;18;20;6;2;10;9;42
58;88;155;378;521;114787;20;18;18;18;5;2;9;9;38
59;87;154;378;521;24128;19;20;19;22;6;2;9;10;78
60;88;152;377;522;23963;21;18;19;18;5;3;10;10;78
